ticket_id,customer_id,product_id,created_at,closed_at,status,priority,channel,root_cause,description
1,116,9,27/11/2024 16:12,19/12/2024 16:12,resolved,medium,email,User Error,Customer reported issue related to user error on dBank Insights.
2,245,2,23/8/2023 13:56,17/9/2023 13:56,closed,low,call,Data Sync,Customer reported issue related to data sync on dBank Wallet.
3,71,7,3/3/2025 4:50,24/3/2025 4:50,closed,low,app,Fraud,Customer reported issue related to fraud on dBank API Gateway.
4,85,8,26/12/2023 7:45,30/12/2023 7:45,resolved,medium,email,Data Sync,Customer reported issue related to data sync on dBank Rewards.
5,45,2,24/5/2023 4:29,5/6/2023 4:29,resolved,high,call,User Error,Customer reported issue related to user error on dBank Wallet.
6,127,5,22/10/2024 3:04,10/11/2024 3:04,resolved,medium,app,User Error,Customer reported issue related to user error on dBank Merchant.
7,338,5,30/7/2023 18:51,5/8/2023 18:51,resolved,low,app,User Error,Customer reported issue related to user error on dBank Merchant.
8,407,4,21/5/2024 14:02,5/6/2024 14:02,closed,low,app,Third-Party API,Customer reported issue related to third-party api on dBank Lending.
9,479,6,16/5/2023 14:05,,pending,low,web,User Error,Customer reported issue related to user error on dBank Mobile App.
10,489,2,18/1/2023 21:23,26/1/2023 21:23,closed,low,app,Data Sync,Customer reported issue related to data sync on dBank Wallet.
11,204,9,21/10/2023 22:53,14/11/2023 22:53,resolved,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Insights.
12,275,9,22/9/2024 5:33,1/10/2024 5:33,closed,low,web,Third-Party API,Customer reported issue related to third-party api on dBank Insights.
13,80,9,1/12/2023 14:13,25/12/2023 14:13,closed,low,email,User Error,Customer reported issue related to user error on dBank Insights.
14,434,4,1/3/2023 8:54,14/3/2023 8:54,closed,low,app,UI Bug,Customer reported issue related to ui bug on dBank Lending.
15,380,3,3/5/2023 0:27,25/5/2023 0:27,closed,low,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Savings.
16,401,5,20/6/2023 13:32,14/7/2023 13:32,resolved,medium,app,User Error,Customer reported issue related to user error on dBank Merchant.
17,16,6,6/4/2025 15:37,8/4/2025 15:37,resolved,medium,app,Backend Timeout,Customer reported issue related to backend timeout on dBank Mobile App.
18,262,6,26/2/2023 18:11,,open,low,call,User Error,Customer reported issue related to user error on dBank Mobile App.
19,458,10,21/11/2024 4:11,7/12/2024 4:11,closed,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank Pay.
20,242,6,28/1/2024 5:27,27/2/2024 5:27,closed,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Mobile App.
21,128,7,26/7/2025 11:38,28/7/2025 11:38,resolved,low,app,Payment Gateway,Customer reported issue related to payment gateway on dBank API Gateway.
22,412,9,17/2/2023 14:35,3/3/2023 14:35,resolved,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Insights.
23,284,8,9/1/2023 13:25,27/1/2023 13:25,resolved,medium,web,Backend Timeout,Customer reported issue related to backend timeout on dBank Rewards.
24,303,8,2/3/2025 7:06,19/3/2025 7:06,closed,low,email,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
25,278,6,13/10/2024 0:20,,open,medium,email,User Error,Customer reported issue related to user error on dBank Mobile App.
26,373,5,17/4/2023 7:28,24/4/2023 7:28,resolved,low,app,Third-Party API,Customer reported issue related to third-party api on dBank Merchant.
27,73,5,6/4/2023 1:35,,pending,medium,call,Backend Timeout,Customer reported issue related to backend timeout on dBank Merchant.
28,383,2,17/8/2024 3:28,6/9/2024 3:28,resolved,low,app,UI Bug,Customer reported issue related to ui bug on dBank Wallet.
29,494,3,31/8/2023 10:37,10/9/2023 10:37,resolved,medium,call,UI Bug,Customer reported issue related to ui bug on dBank Savings.
30,140,4,18/3/2023 7:22,11/4/2023 7:22,closed,low,web,UI Bug,Customer reported issue related to ui bug on dBank Lending.
31,161,7,4/5/2023 19:30,28/5/2023 19:30,closed,low,email,UI Bug,Customer reported issue related to ui bug on dBank API Gateway.
32,62,2,11/6/2023 11:04,,open,low,call,Payment Gateway,Customer reported issue related to payment gateway on dBank Wallet.
33,365,4,18/9/2025 12:57,19/9/2025 12:57,resolved,low,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Lending.
34,208,8,23/7/2024 20:01,6/8/2024 20:01,closed,medium,web,Payment Gateway,Customer reported issue related to payment gateway on dBank Rewards.
